"date","bea_ea_code","bea_ea_name","gdp2018","cases","deaths","pop10"
2020-02-23,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-23,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,11,0,517110
2020-02-23,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-23,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,1,0,1418788
2020-02-23,144,"San Antonio, TX",109073496,4,0,1714773
2020-02-23,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-23,146,"San Jose-San Francisco-Oakland, CA",518250259,5,0,2721500
2020-02-23,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-24,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-24,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-24,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-24,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-24,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,12,0,517110
2020-02-24,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-24,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,1,0,1418788
2020-02-24,144,"San Antonio, TX",109073496,10,0,1714773
2020-02-24,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-24,146,"San Jose-San Francisco-Oakland, CA",544690865,7,0,3134844
2020-02-24,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-24,157,"Spokane, WA",26482714,4,0,471221
2020-02-25,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-25,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-25,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-25,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-25,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,13,0,517110
2020-02-25,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-25,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,1,0,1418788
2020-02-25,142,"Salt Lake City-Ogden-Clearfield, UT",92409828,1,0,1029655
2020-02-25,144,"San Antonio, TX",109073496,10,0,1714773
2020-02-25,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-25,146,"San Jose-San Francisco-Oakland, CA",544690865,7,0,3134844
2020-02-25,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-25,157,"Spokane, WA",26482714,4,0,471221
2020-02-26,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-26,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-26,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-26,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-26,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,13,0,517110
